xls,site_name,proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,doi,co2_as_published,proxy_category,category_reason,co2_superseded,co2_recalculated,co2_revised_reason,age_as_published,age_quarantined,age_superseded,age_recalculated,age_revised_reason,modern_latitude,modern_longitude
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,4420,15,15,300.02,90.38,79.24,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,4860,15,15,429.87,187.27,136.2,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,5330,40,40,449.16,150.5,128.02,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,5800,30.73,30.73,430.18,161.54,125.3,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on power fit on LR04 uncertainties,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,8560,44.45,44.45,489.26,177.7,145,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on power fit on LR04 uncertainties,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,9240,47.79,47.79,441.19,158.28,131.21,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on power fit on LR04 uncertainties,3.7191,-42.9084
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,5810,30.78,30.78,312.26,99.25,85.89,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on power fit on LR04 uncertainties,16.553,-79.867
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,6540,34.44,34.44,382.21,122.52,108.33,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on power fit on LR04 uncertainties,16.553,-79.867
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,7000,36.73,36.73,420.68,136.13,115.34,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on power fit on LR04 uncertainties,16.553,-79.867
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,8450,43.91,43.91,402.55,140.89,116.79,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on power fit on LR04 uncertainties,16.553,-79.867
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1.66,4,4,261.26,19.99,18.54,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,12.744,-78.7393
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,930.47,4,4,246.73,24.66,22.63,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,12.744,-78.7393
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,1426.26,6,6,215.01,25.54,22.22,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,12.744,-78.7393
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2019.29,6,6,364.61,50.12,44.01,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,12.744,-78.7393
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,2941.22,6,6,349.12,44.37,39.1,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,12.744,-78.7393
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,3204.4,15,15,360.95,46.66,40.42,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,12.744,-78.7393
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,4003.18,30,30,415.83,144.58,111.38,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,12.744,-78.7393
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,4225.71,30,30,397.22,135.77,105.61,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainty based on LR04,12.744,-78.7393
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,3.91,4,4,273.9,23.53,22.36,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,4.63,4,4,263.06,21.03,19.25,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,5.02,4,4,281.14,23.64,22.57,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,7.82,4,4,258.56,22.67,21.23,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,7.82,4,4,268.58,24.88,22.23,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,9.49,4,4,266.08,23.1,21.82,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,10.32,4,4,240.79,22.81,21.49,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,11.65,4,4,256.26,22.78,21.64,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,14.01,4,4,234.32,20.44,18.77,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,15.07,4,4,231.41,20.27,18.71,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
boron_isotopes_sosdian_2018_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,15.07,4,4,220.22,19.35,18.31,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",10.1016/j.epsl.2018.06.017,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,false,,false,false,,false,added age uncertainties based on LR04,12.74,-78.74
